id,carat,cut,color,clarity,depth,table,price
4657,0.23,1,2,7,62.3,61.0,425
4658,0.38,2,3,5,61.2,55.0,778
4659,1.01,3,4,3,61.3,59.0,4355
4660,1.28,2,3,3,61.4,57.0,5995
4661,0.56,4,1,4,61.9,57.0,2037
4662,0.7,2,5,2,61.0,57.0,2287
4663,1.7,4,4,5,63.3,58.0,12833
4664,2.08,4,4,3,59.0,59.0,15696
4665,0.7,3,3,1,60.0,59.0,3447
4666,1.51,2,3,5,62.1,55.0,14482
4667,0.96,2,2,0,60.7,55.0,2801
4668,0.56,1,1,4,61.7,65.0,1938
4669,1.09,2,4,3,62.0,57.0,4264
4670,0.7,0,3,0,67.5,55.0,1069
4671,0.41,4,4,2,63.3,56.0,876
4672,0.35,4,1,5,61.4,58.0,665
4673,0.76,2,2,3,61.6,57.0,2253
4674,0.34,2,2,2,62.8,56.0,727
4675,0.6,4,3,2,63.5,59.9,1565
4676,0.3,2,1,7,61.8,56.0,789
4677,0.25,2,4,4,61.5,56.0,445
4678,1.33,1,3,4,62.8,60.0,10096
4679,0.23,4,1,4,59.5,58.0,402
4680,0.56,2,1,2,62.7,57.0,1698
4681,1.51,3,2,5,61.6,58.0,14683
4682,0.44,2,3,1,61.6,55.0,2506
4683,0.43,2,2,2,61.8,56.0,792
4684,0.36,3,1,4,61.5,59.0,933
4685,0.5,4,0,5,60.8,56.0,1758
4686,0.27,2,3,5,61.4,55.0,459
4687,0.4,3,0,3,63.0,59.0,798
4688,0.3,3,5,6,60.5,60.0,709
4689,1.0,1,3,7,61.6,60.0,7572
4690,0.81,2,1,5,62.0,57.0,4314
4691,0.51,3,1,5,62.5,59.0,1656
4692,1.04,4,3,5,61.3,58.0,5964
4693,1.28,3,4,3,62.4,56.0,4588
4694,0.34,4,3,5,62.9,55.0,596
4695,0.32,4,1,2,62.8,57.0,561
4696,1.23,4,3,3,61.0,63.0,4477
4697,1.0,0,4,3,65.3,62.0,2818
4698,0.51,3,1,5,61.3,58.0,1781
4699,1.5,4,1,5,61.0,55.0,13963
4700,0.26,4,2,5,58.7,59.0,453
4701,1.2,2,4,4,60.8,58.0,7473
4702,0.38,2,2,4,61.3,56.0,1116
4703,0.31,2,4,4,61.7,57.0,698
4704,0.72,2,4,2,61.1,56.0,2997
4705,0.36,4,0,2,63.2,56.0,794
4706,1.0,1,1,2,62.4,59.0,4936
4707,0.83,1,1,2,63.7,59.0,3250
4708,0.42,2,5,6,60.2,57.0,884
4709,0.32,2,1,2,62.1,54.0,532
4710,0.77,2,1,2,62.5,56.0,3000
4711,1.23,4,4,5,62.4,58.0,6848
4712,0.78,2,2,3,61.2,56.0,2622
4713,1.1,4,4,7,59.7,57.8,6497
4714,1.2,3,5,3,60.0,58.0,5080
4715,1.0,0,5,4,64.0,49.0,3951
4716,0.8,4,4,3,63.4,58.0,2502
4717,0.58,4,0,2,63.5,58.0,1720
4718,0.3,4,0,5,60.3,60.0,710
4719,1.02,1,4,4,59.8,63.0,5598
4720,1.52,2,2,2,62.2,56.0,12183
4721,1.59,3,2,5,60.2,60.0,15602
4722,0.91,3,3,4,62.5,61.0,4570
4723,1.01,3,4,2,58.2,62.0,4191
4724,0.41,2,4,6,61.4,56.0,1043
4725,0.4,2,0,4,62.3,54.0,1064
4726,0.34,4,3,2,61.2,54.0,536
4727,1.12,2,3,4,61.1,56.0,8080
4728,1.23,2,2,7,61.8,56.0,11040
4729,1.7,1,6,5,63.6,59.0,8282
4730,0.53,4,2,2,62.5,57.0,1322
4731,0.54,3,3,3,61.4,59.0,1195
4732,0.36,4,2,4,60.1,59.0,825
4733,0.72,3,6,2,62.1,59.0,1987
4734,0.71,3,3,2,62.3,56.0,2283
4735,1.56,1,4,2,63.7,57.0,7862
4736,1.61,2,2,5,62.9,56.0,15426
4737,0.96,4,3,2,62.0,59.0,4136
4738,2.01,1,4,3,57.6,60.0,12215
4739,0.31,2,4,5,61.5,57.0,628
4740,1.18,3,2,4,60.7,55.0,9648
4741,0.39,1,3,5,63.3,57.0,787
4742,0.4,2,1,7,62.5,54.0,926
4743,0.3,4,4,4,63.0,58.0,526
4744,0.43,3,0,2,62.4,60.0,796
4745,0.39,2,0,4,60.3,56.0,1170
4746,0.32,2,2,7,62.1,54.0,1008
4747,0.45,4,4,6,62.3,57.0,1274
4748,0.9,4,2,2,61.7,60.0,3854
4749,0.9,3,4,2,62.0,62.0,3679
4750,0.4,2,3,4,62.4,57.0,1125
4751,0.41,2,2,7,61.9,55.0,1115
4752,0.3,4,1,4,63.6,54.0,620
4753,1.5,4,3,2,60.1,61.0,10019
4754,0.9,4,2,2,63.1,58.0,3624
4755,0.35,2,1,5,62.0,57.0,767
4756,1.07,4,1,3,60.5,61.0,4609
4757,2.15,2,5,3,61.7,55.0,14388
4758,0.38,2,1,5,60.1,56.0,1112
4759,1.22,2,2,4,61.5,56.0,9756
4760,0.59,2,2,3,61.7,54.0,1195
4761,1.02,3,1,2,61.5,58.0,5183
4762,0.51,4,1,1,63.3,58.0,2925
4763,0.41,2,5,7,61.6,57.0,827
4764,0.37,2,2,7,60.5,60.0,876
4765,0.4,4,4,7,59.7,57.0,882
4766,0.31,2,3,6,61.4,56.0,772
4767,0.6,2,3,7,61.2,56.0,2190
4768,1.0,3,4,3,61.3,57.0,3584
4769,0.32,4,3,4,62.8,54.0,645
4770,1.01,3,5,2,62.8,58.0,3782
4771,0.32,4,6,2,61.6,58.0,374
4772,0.7,1,1,2,63.6,62.0,2407
4773,0.31,2,5,3,62.0,54.1,372
4774,1.51,2,4,2,62.3,53.7,11062
4775,1.0,4,3,2,58.6,63.0,4218
4776,0.84,2,1,2,61.7,53.0,4068
4777,0.6,4,1,4,60.0,58.0,2270
4778,1.16,2,0,3,62.1,54.0,5898
4779,1.12,3,4,2,61.6,59.0,5363
4780,0.91,2,1,2,61.9,55.0,4623
4781,1.01,4,4,2,62.3,63.0,4449
4782,1.04,2,2,7,62.2,56.0,9281
4783,0.4,1,1,3,63.5,56.0,622
4784,0.38,2,0,4,62.4,56.0,1095
4785,0.9,4,4,7,62.9,58.0,4186
4786,1.35,3,3,7,60.2,59.0,11868
4787,0.51,2,2,7,62.2,57.0,2083
4788,0.35,3,1,3,61.5,59.0,630
4789,1.11,3,4,2,58.9,59.0,4748
4790,1.28,3,3,4,60.9,58.0,9505
4791,1.29,3,3,4,62.4,58.0,9354
4792,0.51,2,3,5,62.9,54.0,1546
4793,0.32,2,1,6,60.9,57.0,1020
4794,2.51,2,4,2,62.9,56.0,15324
4795,0.31,4,1,1,60.6,60.0,944
4796,2.04,2,5,2,61.0,57.0,16718
4797,0.31,4,3,4,63.3,57.0,749
4798,0.71,3,0,6,59.7,59.0,4482
4799,0.31,2,0,2,62.0,55.0,732
4800,1.13,3,2,2,60.6,60.0,5581
4801,0.52,4,3,4,62.4,60.0,1689
4802,2.04,4,4,3,62.7,56.0,15618
4803,0.9,0,1,3,64.5,57.0,3342
4804,0.7,3,1,5,61.1,58.0,2496
4805,0.31,2,1,5,61.9,55.0,872
4806,0.72,2,2,4,61.0,55.0,3759
4807,0.32,2,3,4,62.3,54.0,645
4808,0.33,4,0,2,62.8,55.0,608
4809,1.51,2,1,3,62.7,55.0,7272
4810,1.53,4,5,5,62.8,59.0,9802
4811,1.73,3,1,2,62.6,58.0,16253
4812,1.05,2,6,2,61.5,55.0,4405
4813,0.58,2,2,3,62.0,57.0,1332
4814,1.5,1,3,5,59.0,58.0,11294
4815,1.32,0,4,0,65.8,55.0,4140
4816,0.33,4,4,4,60.2,62.0,579
4817,2.06,2,5,5,62.2,55.0,18779
4818,0.51,2,1,2,62.5,56.0,1443
4819,0.3,3,5,2,60.9,59.0,506
4820,1.21,4,5,2,62.1,56.0,5324
4821,0.39,2,1,4,62.2,55.0,948
4822,0.5,4,3,4,61.0,58.0,1694
4823,0.9,4,4,5,62.6,58.0,3989
4824,0.34,2,2,5,61.0,57.0,686
4825,1.58,4,4,4,60.3,62.0,12483
4826,0.27,3,1,7,61.8,59.0,752
4827,1.05,4,4,2,60.2,62.0,5047
4828,1.0,1,2,3,62.7,57.0,4081
4829,0.32,4,4,7,61.0,58.0,645
4830,0.3,2,2,5,61.6,57.0,776
4831,1.06,3,3,3,61.5,58.0,4571
4832,0.92,3,1,3,61.7,59.0,3941
4833,1.01,0,5,3,68.1,59.0,3054
4834,1.0,4,1,2,59.6,60.0,5257
4835,1.5,4,3,7,62.9,56.0,15013
4836,1.13,3,0,3,62.0,58.0,5280
4837,0.4,4,3,4,60.8,59.0,791
4838,2.72,2,6,3,62.1,56.0,17801
4839,0.57,2,0,5,61.7,56.0,2099
4840,0.8,4,4,2,63.0,57.0,3005
4841,0.9,4,0,2,63.5,57.0,4304
4842,0.51,2,3,7,61.2,55.0,1875
4843,0.7,1,1,3,63.9,59.0,1929
4844,0.76,1,3,2,57.7,63.0,2447
4845,0.32,2,5,6,62.4,55.0,756
4846,1.19,3,5,3,62.6,58.0,4498
4847,2.09,2,3,3,62.5,57.0,11119
4848,1.52,3,0,3,60.2,60.0,8737
4849,1.22,3,1,3,61.5,58.0,6121
4850,0.33,2,0,5,62.3,57.0,781
4851,0.51,3,3,4,62.3,59.0,1781
4852,0.28,4,2,5,60.8,58.0,487
4853,0.33,3,5,5,60.6,58.0,594
4854,2.01,4,6,5,62.1,60.0,12683
4855,0.31,1,3,5,63.6,56.0,698
4856,0.7,4,0,2,62.3,58.0,2804
4857,1.02,3,4,3,62.5,54.0,4284
4858,1.09,3,2,2,62.7,58.0,5384
4859,0.34,2,0,2,61.5,53.0,626
4860,0.36,2,4,1,61.3,57.0,1163
4861,1.42,4,5,4,60.1,65.0,6894
4862,1.0,3,2,3,59.4,62.0,4155
4863,1.41,3,3,2,59.5,59.0,8758
4864,1.09,0,6,5,64.6,58.0,3443
4865,1.01,3,0,3,62.2,60.0,4672
4866,0.55,2,4,7,62.1,55.0,1668
4867,1.51,1,3,5,64.2,54.0,11746
4868,1.5,4,1,5,62.1,60.0,14256
4869,0.75,4,1,2,59.2,59.0,3260
4870,0.51,3,6,2,61.7,56.0,956
4871,0.3,2,3,5,61.4,54.0,675
4872,0.96,0,2,0,62.9,66.0,1917
4873,0.35,4,0,3,62.4,57.0,487
4874,0.61,2,4,4,61.6,56.9,1706
4875,1.01,3,5,2,62.3,58.0,4355
4876,0.32,2,0,7,59.9,59.0,854
4877,0.63,3,2,5,58.2,61.0,1960
4878,0.71,2,3,7,61.7,57.0,3307
4879,1.02,2,4,2,60.0,59.0,4724
4880,0.3,2,0,5,61.8,55.0,911
4881,0.7,2,0,2,61.6,57.0,3471
4882,1.54,3,5,4,61.6,58.0,10164
4883,2.25,2,4,2,62.4,56.0,14348
4884,0.41,2,4,2,61.2,57.0,683
4885,1.01,2,1,4,60.4,59.0,7458
4886,1.54,4,5,5,62.0,58.0,8537
4887,0.31,2,4,6,62.3,54.0,687
4888,0.46,4,1,4,62.9,52.0,1257
4889,0.31,4,1,2,63.0,59.0,544
4890,0.32,2,0,3,62.6,56.0,612
4891,0.59,2,1,5,60.2,61.0,1941
4892,0.3,3,3,1,58.4,62.0,1071
4893,0.27,3,0,5,62.0,57.0,603
4894,1.77,4,6,3,63.4,60.0,8257
4895,0.72,3,2,2,59.3,60.0,2030
4896,0.38,2,2,5,61.9,55.0,969
4897,1.16,2,5,2,61.7,56.0,4668
4898,0.5,4,1,2,60.7,58.0,1351
4899,1.23,2,3,6,61.8,56.0,10572
4900,0.5,1,2,5,57.7,61.0,1626
4901,1.51,3,2,3,62.7,58.0,6393
4902,1.03,2,3,2,60.5,55.0,5445
4903,0.86,4,6,3,63.2,61.0,1950
4904,0.5,3,2,4,61.3,59.0,1838
4905,2.02,3,6,5,62.0,59.0,13687
4906,0.36,2,4,6,61.8,56.0,794
4907,1.12,2,3,4,61.0,56.0,7495
4908,0.31,4,1,3,60.8,61.0,435
4909,0.42,4,0,6,62.4,55.0,1238
4910,0.84,2,3,3,62.3,55.0,2879
4911,0.81,2,1,3,63.0,56.0,2901
4912,0.32,3,4,5,62.7,54.0,648
4913,1.12,2,4,3,63.6,56.0,5331
4914,1.3,3,6,7,62.9,60.0,6405
4915,1.47,4,4,3,62.6,58.0,7438
4916,0.71,3,3,5,62.1,62.0,2623
4917,0.53,3,2,3,62.5,57.0,1242
4918,1.2,1,3,4,63.4,56.0,8442
4919,0.9,3,4,5,61.7,59.0,4191
4920,0.4,3,1,4,60.5,61.0,1125
4921,0.5,4,0,5,62.8,56.0,1752
4922,0.53,2,2,2,62.4,57.0,1363
4923,1.38,2,3,3,61.4,55.0,7094
4924,1.14,2,0,4,59.8,57.0,9193
4925,2.01,3,4,2,61.7,60.0,18188
4926,0.38,4,6,2,63.2,59.0,538
4927,0.3,3,4,5,63.0,59.0,608
4928,1.03,2,2,7,62.0,56.0,9413
4929,1.06,3,4,5,62.0,58.0,5889
4930,0.72,2,1,5,61.4,56.0,3601
4931,1.27,3,3,7,61.0,58.0,10203
4932,0.51,4,1,6,59.9,57.0,2501
4933,0.42,3,0,4,60.8,60.0,1235
4934,0.27,2,2,1,61.8,55.0,760
4935,0.28,4,0,7,62.2,52.0,777
4936,2.22,1,5,3,63.2,57.0,16398
4937,0.41,4,1,6,62.9,58.0,1249
4938,0.3,3,3,4,61.7,56.0,776
4939,1.23,3,2,4,61.3,60.0,9319
4940,1.5,1,6,2,64.0,56.0,5914
4941,0.9,0,0,2,66.1,55.0,3945
4942,0.84,1,3,4,63.6,57.0,3316
4943,0.9,3,4,5,60.7,58.0,4082
4944,0.71,2,1,5,61.6,57.0,3112
4945,0.61,3,0,5,62.3,55.0,2251
4946,1.01,4,5,3,61.4,63.0,3792
4947,1.14,2,3,2,62.2,56.0,5548
4948,1.08,2,5,3,61.9,55.0,3849
4949,1.23,3,2,7,61.6,59.0,11430
4950,0.7,2,1,5,61.0,56.0,3376
4951,0.3,4,2,1,62.0,58.0,886
4952,1.54,3,3,4,61.9,59.0,13733
4953,0.31,0,2,6,63.1,61.0,740
4954,1.08,2,3,5,62.3,57.0,7295
4955,0.31,2,2,5,62.3,55.0,802
4956,0.93,4,1,2,62.8,56.0,4304
4957,1.55,2,5,4,61.9,55.0,11067
4958,0.41,2,4,2,61.2,57.0,876
4959,1.1,2,4,3,62.0,56.5,5002
4960,1.01,3,1,3,61.8,61.0,3801
4961,0.9,3,3,5,61.8,60.0,4386
4962,1.22,3,3,5,61.8,58.0,8213
4963,0.35,2,4,6,62.0,53.9,743
4964,0.57,2,3,7,61.9,56.0,2039
4965,1.21,3,5,2,61.0,56.0,4404
4966,0.24,2,0,7,61.0,57.0,526
4967,1.02,1,3,5,63.8,59.0,6080
4968,1.21,3,4,5,59.9,59.0,7562
4969,0.8,3,1,5,63.0,56.0,3494
4970,1.28,1,5,5,58.2,64.0,5319
4971,0.41,2,3,6,62.1,55.0,1151
4972,0.41,3,2,7,60.4,58.0,1115
4973,0.41,3,0,5,62.4,60.0,1076
4974,0.69,4,5,5,63.3,57.0,2070
4975,0.7,3,3,5,60.9,60.0,2657
4976,1.51,3,2,5,63.0,56.0,13248
4977,0.55,2,3,4,60.9,55.0,1991
4978,0.54,4,4,2,61.0,57.0,1248
4979,0.35,2,2,5,60.5,57.0,906
4980,0.7,4,3,2,61.8,56.0,2106
4981,1.04,4,5,2,63.2,54.0,4193
4982,0.5,4,4,6,63.3,57.0,1715
4983,0.62,2,3,2,61.6,56.0,1563
4984,0.36,2,2,7,61.4,56.0,817
4985,0.71,2,1,5,62.2,56.0,3103
4986,0.34,2,2,5,61.4,55.0,856
4987,0.83,3,2,5,61.9,58.0,3408
4988,0.3,2,2,1,60.0,59.0,873
4989,1.76,2,3,5,60.3,57.0,17442
4990,0.51,2,0,5,62.1,56.0,1882
4991,1.0,3,3,4,62.3,58.0,6290
4992,0.61,1,2,5,63.0,64.2,1971
4993,0.4,3,6,4,59.7,59.0,810
4994,1.0,4,0,3,63.3,60.0,4295
4995,0.58,2,1,5,61.1,57.0,1984
4996,2.09,4,5,4,62.9,57.0,18215
4997,0.59,2,0,2,61.7,56.0,1671
4998,0.9,1,3,5,64.0,59.0,3801
4999,0.71,2,2,4,62.6,55.0,2920
5000,0.52,2,0,5,62.1,57.0,1689
5001,1.62,2,3,2,62.2,56.0,12295
5002,0.64,2,3,6,61.9,56.0,2766
5003,0.75,2,2,2,61.2,55.0,2966
5004,0.32,4,5,2,59.9,61.0,421
5005,0.44,2,3,7,61.8,56.0,1155
5006,0.59,1,2,5,63.5,55.0,1573
5007,0.71,3,4,7,61.5,62.0,2863
5008,0.3,3,0,5,61.9,58.0,911
5009,0.3,4,3,2,59.7,60.0,447
5010,0.33,2,4,4,62.6,56.0,610
5011,0.43,3,1,2,60.2,60.0,1016
5012,1.0,1,0,2,65.1,54.0,4786
5013,0.3,3,5,6,62.8,59.0,709
5014,1.0,0,1,7,65.4,56.0,7918
5015,0.42,3,3,4,60.8,59.0,921
5016,0.3,3,0,5,61.0,58.0,911
5017,1.23,2,6,5,61.8,56.0,4986
5018,0.48,4,2,6,62.3,55.0,1914
5019,0.41,2,1,4,62.7,57.0,1079
5020,0.52,4,4,4,61.7,55.0,1659
5021,1.63,1,5,2,63.7,58.0,9730
5022,1.01,3,3,5,61.2,58.0,5864
5023,0.31,2,0,5,62.5,56.0,942
5024,0.31,2,3,4,62.1,55.0,625
5025,0.67,4,3,5,61.7,59.7,2131
5026,0.72,4,4,3,62.4,59.0,2160
5027,1.5,0,5,0,69.7,56.0,4704
5028,0.42,3,3,6,59.3,59.0,1235
5029,1.11,3,3,2,61.5,58.0,4768
5030,0.3,3,6,5,62.2,58.0,473
5031,0.36,2,3,6,61.7,55.0,1163
5032,0.7,3,3,2,60.3,61.0,2352
5033,0.3,2,0,5,62.9,56.0,911
5034,1.31,4,5,5,61.2,58.0,6917
5035,0.36,2,2,4,61.3,54.0,803
5036,0.41,2,3,5,62.4,55.0,1061
5037,0.32,3,1,2,61.2,58.0,672
5038,1.21,2,4,4,62.0,57.0,5902
5039,0.95,3,1,3,60.7,59.0,4070
5040,1.53,3,0,2,61.6,58.0,10907
5041,1.5,2,3,3,63.0,57.0,6720
5042,1.25,1,6,2,63.6,57.0,5110
5043,0.23,2,2,6,62.7,57.0,530
5044,0.37,3,0,2,62.7,58.0,681
5045,0.53,2,1,5,61.8,55.0,2163
5046,1.3,4,3,4,62.5,57.0,9837
5047,1.61,3,4,2,61.4,58.0,9341
5048,0.81,2,2,2,61.9,57.0,2977
5049,1.01,0,2,2,57.9,57.0,5144
5050,0.85,3,3,3,62.0,58.0,2444
5051,0.31,2,6,7,62.0,56.1,468
5052,0.38,2,2,6,62.0,54.7,1101
5053,2.04,3,5,3,59.8,59.0,14605
5054,0.25,4,5,7,62.1,56.0,500
5055,0.39,3,2,6,59.7,58.0,1290
5056,0.31,3,4,1,60.8,59.0,949
5057,1.05,3,3,7,59.5,61.0,8702
5058,0.32,2,2,7,62.1,56.0,741
5059,0.46,4,1,2,61.8,57.0,968
5060,1.5,3,2,5,60.9,60.0,13853
5061,0.34,3,3,7,61.7,56.0,995
5062,0.27,3,3,5,62.4,59.0,509
5063,0.96,2,3,3,62.0,58.0,3945
5064,1.04,3,3,3,62.6,58.0,4455
5065,1.02,3,2,3,62.5,58.0,3686
5066,1.17,2,2,4,62.2,56.0,8806
5067,1.5,3,1,4,62.5,58.0,16023
5068,1.51,2,3,4,60.6,57.0,14507
5069,0.55,4,1,3,62.5,54.0,1238
5070,0.36,4,3,2,63.3,56.0,689
5071,1.02,3,4,2,58.3,59.0,4819
5072,0.71,2,4,4,61.4,56.0,3229
5073,0.9,4,2,3,62.0,59.0,3977
5074,0.74,3,1,3,61.3,59.0,2527
5075,0.32,2,3,1,61.8,55.0,918
5076,0.96,0,5,3,66.3,58.0,2540
5077,0.33,2,3,6,62.0,56.0,1114
5078,1.01,3,3,0,61.1,61.0,3014
5079,0.32,4,4,7,63.4,56.0,828
5080,0.53,3,3,5,59.9,60.0,1335
5081,0.58,2,3,4,60.6,56.0,1899
5082,1.51,4,1,5,60.8,60.0,14338
5083,2.02,4,6,5,59.3,60.0,13693
5084,0.3,2,5,5,61.6,57.0,438
5085,1.22,3,5,2,59.0,61.0,5466
5086,0.91,1,2,2,64.4,60.0,3994
5087,0.42,3,3,2,62.2,58.0,945
5088,1.02,2,4,2,61.2,56.0,5257
5089,0.35,2,0,3,62.2,56.0,522
5090,0.91,4,4,5,63.1,56.0,3567
5091,0.42,2,1,5,62.4,55.0,1024
5092,1.02,2,3,1,62.3,57.0,8955
5093,0.79,4,5,2,61.8,60.0,2296
5094,1.11,4,5,2,61.9,59.0,4273
5095,1.62,3,2,2,63.0,58.0,13298
5096,0.77,2,1,2,61.6,57.0,3218
5097,0.75,1,3,6,58.4,56.0,3188
5098,0.41,2,2,4,62.1,56.0,1007
5099,0.52,3,2,5,62.2,58.0,1720
5100,0.35,3,1,2,62.9,58.0,788
5101,0.7,4,3,7,60.8,57.0,2931
5102,1.52,3,3,0,61.7,58.0,3820
5103,1.0,3,5,5,61.6,59.0,4372
5104,0.28,4,1,7,62.0,56.0,544
5105,0.53,1,6,5,63.3,56.0,1023
5106,1.22,3,0,5,59.4,59.0,9756
5107,1.04,3,3,2,59.2,61.0,4811
5108,0.76,2,1,6,62.2,55.0,5056
5109,0.42,2,4,4,62.4,57.0,1087
5110,1.51,3,3,5,60.7,60.0,12437
5111,2.39,2,6,4,62.1,57.0,17365
5112,0.73,4,4,2,62.8,55.0,2196
5113,0.31,2,1,1,62.5,56.0,1214
5114,0.41,3,0,4,59.3,58.0,1286
5115,1.0,1,3,5,63.7,59.0,5645
5116,1.02,4,4,3,63.1,59.0,4284
5117,1.22,3,5,3,61.7,59.0,4735
5118,0.74,2,3,4,61.5,56.0,3572
5119,0.32,2,3,2,61.4,57.0,612
5120,0.71,3,0,5,58.7,61.0,2968
5121,1.62,2,4,3,61.8,54.0,8865
5122,1.33,3,1,4,60.5,58.0,12342
5123,1.0,4,1,2,61.0,61.0,4719
5124,0.31,3,4,4,61.1,59.0,698
5125,0.53,4,1,5,60.1,59.0,1852
5126,1.07,3,3,5,60.5,56.0,6471
5127,0.32,3,3,5,62.6,58.0,720
5128,0.3,4,3,1,63.5,55.0,956
5129,1.26,2,3,7,60.7,56.0,10367
5130,0.3,2,1,5,62.1,55.0,621
5131,1.5,2,3,2,62.8,54.0,11572
5132,1.01,4,3,7,60.8,59.0,7847
5133,0.71,2,1,5,61.8,57.0,2630
5134,0.59,2,0,2,61.6,57.0,1743
5135,1.4,4,5,4,61.6,59.0,7584
5136,1.76,3,0,3,59.6,58.0,13867
5137,1.08,2,3,3,62.3,56.0,4489
5138,2.01,4,6,5,61.1,59.0,13109
5139,0.28,4,0,7,62.2,59.0,642
5140,0.55,2,4,1,61.9,56.0,2120
5141,1.04,4,1,2,60.8,60.0,5231
5142,3.01,3,5,3,60.2,59.0,18242
5143,0.36,2,4,5,62.1,55.0,729
5144,0.41,2,4,2,61.7,56.0,1056
5145,0.91,4,5,4,61.9,57.0,3734
5146,0.7,2,5,2,62.5,55.0,2110
5147,0.63,3,2,3,60.3,61.0,1351
5148,1.2,4,2,6,59.8,63.0,11913
5149,1.21,2,5,3,60.7,56.0,4880
5150,1.0,4,1,4,61.2,57.0,7002
5151,1.01,2,2,3,62.4,56.0,3733
5152,0.32,4,3,3,62.4,59.0,421
5153,0.43,2,0,4,61.6,56.0,1207
5154,0.85,0,3,0,62.7,60.0,1651
5155,2.02,3,3,3,61.3,56.0,16929
5156,0.7,3,1,2,61.3,58.0,2753
5157,1.07,1,4,2,58.1,60.0,4832
5158,2.06,1,6,2,64.1,56.0,11854
5159,0.3,2,3,6,61.7,55.0,789
5160,0.61,3,4,7,60.9,60.0,1752
5161,0.71,4,0,4,63.2,57.0,3406
5162,0.5,0,2,3,65.5,54.0,1031
5163,1.51,4,2,5,62.8,56.0,14165
5164,0.37,3,5,5,61.6,60.0,666
5165,0.32,3,1,2,60.1,60.0,720
5166,0.8,3,2,3,58.5,62.0,2371
5167,1.01,2,1,4,61.5,57.0,7589
5168,1.51,4,2,7,61.4,58.0,16716
5169,1.22,2,4,7,62.2,56.0,8014
5170,0.31,2,1,2,60.1,57.0,601
5171,1.25,2,1,1,61.8,55.0,16823
5172,0.56,2,3,4,60.6,56.0,1819
5173,1.01,1,3,5,63.9,54.0,5701
5174,0.76,2,5,6,62.2,55.0,2753
5175,1.16,3,3,7,60.0,59.0,9146
5176,0.75,1,0,2,64.1,54.0,2608
5177,0.92,4,4,4,62.9,58.0,4228
5178,0.41,2,5,1,61.1,57.0,953
5179,0.54,2,0,4,61.6,54.0,1987
5180,0.72,3,1,3,61.6,59.0,2019
5181,0.58,2,4,2,61.8,56.0,1421
5182,1.23,4,2,4,60.6,58.0,9346
5183,0.7,0,3,0,66.9,55.0,1001
5184,0.28,2,4,5,62.5,54.0,467
5185,0.9,3,6,7,62.5,61.0,3459
5186,0.3,2,1,1,62.0,54.0,943
5187,1.01,4,0,2,61.8,58.0,5812
5188,0.52,2,0,3,62.5,56.0,1385
5189,1.02,4,1,0,60.4,62.0,3455
5190,0.71,3,2,2,60.7,54.0,2809
5191,0.71,3,1,3,62.2,57.0,2386
5192,0.88,2,2,3,62.2,56.0,3619
5193,0.24,4,2,6,61.7,56.0,485
5194,0.3,4,2,5,61.4,55.0,524
5195,1.03,2,2,5,61.2,54.0,6922
5196,0.71,2,1,4,61.9,54.0,3212
5197,0.33,2,3,4,61.6,57.0,666
5198,0.58,2,2,3,61.8,56.0,1279
5199,2.01,0,4,3,64.9,56.0,10184
5200,1.01,4,0,2,63.3,57.0,5622
5201,0.32,2,3,6,61.1,57.0,842
5202,0.37,1,2,5,63.3,56.0,746
5203,0.7,4,2,2,61.6,55.0,2230
5204,0.51,1,1,2,63.6,58.0,1434
5205,1.31,2,3,6,61.1,57.0,11146
5206,2.16,3,4,3,62.3,57.0,11473
5207,0.32,2,2,5,62.5,56.0,645
5208,0.53,2,4,5,61.6,55.0,1427
5209,0.56,1,2,4,58.6,62.0,1712
5210,1.21,4,6,2,62.7,57.0,4312
5211,0.25,4,3,5,63.0,54.0,407
5212,0.42,4,4,2,59.5,57.0,700
5213,0.5,1,0,2,63.8,60.0,1433
5214,0.32,4,4,7,61.6,55.0,645
5215,0.5,3,1,5,61.3,60.0,1746
5216,0.32,3,4,7,61.0,58.0,828
5217,0.5,3,3,6,61.0,60.0,2070
5218,0.41,3,3,4,60.2,59.0,961
5219,0.4,3,3,5,60.4,58.0,753
5220,0.59,2,2,5,61.0,56.0,1828
5221,0.9,4,2,3,61.6,56.0,3601
5222,0.73,2,2,4,61.4,55.0,3493
5223,1.01,3,3,2,58.8,58.0,4395
5224,0.27,4,1,6,62.3,56.0,682
5225,0.56,2,3,4,60.8,55.0,1837
5226,0.34,3,2,4,60.4,58.0,745
5227,1.01,3,3,5,62.5,60.0,5620
5228,0.3,3,1,5,59.9,59.0,658
5229,1.85,4,4,0,63.3,56.0,5688
5230,0.3,2,4,1,61.6,57.0,764
5231,0.41,4,1,4,62.8,58.0,1079
5232,2.02,4,5,3,61.9,60.0,14715
5233,1.01,3,3,1,61.3,58.0,7352
5234,1.5,2,5,4,62.2,54.0,10406
5235,0.3,2,3,4,61.8,56.0,795
5236,1.23,4,6,7,61.2,57.0,5665
5237,0.7,4,5,3,61.8,58.0,1977
5238,1.0,4,1,3,62.8,59.0,4125
5239,0.32,3,2,2,60.0,59.0,684
5240,0.74,3,3,2,61.0,60.0,2553
5241,0.29,4,2,4,59.1,60.0,504
5242,1.01,4,2,2,60.3,60.0,4972
5243,0.79,2,5,4,62.2,57.0,2958
5244,0.31,2,2,4,60.6,56.0,680
